category,type,value,context,classification
package,npm,js-digest@4.2.2,malicious package,indicator
package,npm,nextfile-js@1.4.2,malicious package,indicator
account,npm-publisher,brixtai,sockpuppet,indicator
account,npm-publisher,slsnvskse,sockpuppet,indicator
account,npm-publisher,uquque,sockpuppet,indicator
account,npm-publisher,herbsobering,umbrella account,indicator
account,aur-adopter,krisztinavarga,sockpuppet adopter,indicator
account,aur-adopter,franziskaweber,sockpuppet adopter,indicator
account,aur-adopter,tobiaswesterburg,sockpuppet adopter,indicator
account,aur-adopter,ellenmyklebust,sockpuppet adopter,indicator
account,aur-adopter,custodiatovar,sockpuppet adopter,indicator
account,aur-adopter,veramagalhaes,sockpuppet adopter,indicator
account,forged-commit-author,PLYSHKA,forged commit identity,indicator
not-ioc,name,arojas,impersonated KDE maintainer (victim of the forgery),not-ioc
not-ioc,name,hanxi2014,upstream author on inherited commits (innocent),not-ioc
not-ioc,name,jhruby,upstream author on inherited commits (innocent),not-ioc
not-ioc,name,appro,upstream author on inherited commits (innocent),not-ioc
not-ioc,name,eooce,upstream author of the forked proxy tool (innocent),not-ioc
not-ioc,name,pingwin840,post-disclosure copycat scareware account (not the operator),not-ioc
